name,recclass,surclass,mass (g),fall,date,year,reclat,reclong
Graves Nunataks 98028,Acapulcoite,ACH,22.4,Found,1/1/1998,1998,-86.72,-141.5
LaPaz Icefield 02233,Aubrite,AUB,18.1,Found,1/1/2002,2002,-86.37,-70
LaPaz Icefield 03780,Aubrite,AUB,21.81,Found,1/1/2003,2003,-86.37,-70
LaPaz Icefield 031372,Aubrite,AUB,17.61,Found,1/1/2003,2003,-86.37,-70
LaPaz Icefield 031269,Aubrite,AUB,12.93,Found,1/1/2003,2003,-86.37,-70
LaPaz Icefield 03719,Aubrite-an,AUB,62.02,Found,1/1/2003,2003,-86.37,-70
Pecora Escarpment 01026,Acapulcoite,ACH,29,Found,1/1/2002,2002,-85.65,-68.57
Thiel Mountains 07012,Acapulcoite,ACH,30,Found,1/1/2007,2007,-85.17,-94.72
Thiel Mountains 99002,Acapulcoite,ACH,44.3,Found,1/1/2000,2000,-85.16,-94.57
Queen Alexandra Range 93148,Achondrite-ung,ACH,1.1,Found,1/1/1993,1993,-84.58,162.57
Lewis Cliff 87051,Angrite,ANG,0.6,Found,1/1/1987,1987,-84.35,161.48
Lewis Cliff 87018,Aubrite,AUB,1.2,Found,1/1/1987,1987,-84.35,161.48
Lewis Cliff 87019,Aubrite,AUB,0.5,Found,1/1/1987,1987,-84.35,161.48
Lewis Cliff 87056,Aubrite,AUB,0.1,Found,1/1/1987,1987,-84.35,161.48
Lewis Cliff 87294,Aubrite,AUB,3.9,Found,1/1/1987,1987,-84.34,161.47
Lewis Cliff 87007,Aubrite,AUB,3.2,Found,1/1/1987,1987,-84.34,161.47
Lewis Cliff 87020,Aubrite,AUB,1.9,Found,1/1/1987,1987,-84.34,161.47
Lewis Cliff 87017,Aubrite,AUB,1.3,Found,1/1/1987,1987,-84.34,161.47
Lewis Cliff 87011,Aubrite,AUB,1,Found,1/1/1987,1987,-84.34,161.47
Lewis Cliff 87021,Aubrite,AUB,0.5,Found,1/1/1987,1987,-84.34,161.47
Lewis Cliff 87013,Aubrite,AUB,0.2,Found,1/1/1987,1987,-84.34,161.47
Lewis Cliff 86220,Acapulcoite/Lodranite,ACH,25,Found,1/1/1986,1986,-84.25,161.35
Lewis Cliff 88763,Brachinite,BRA,4.1,Found,1/1/1988,1988,-84.25,161.4
